mouse,tissue,group,day,Mass (mg),Amount of trizol added (ml) ,Amount extracted (ml),Fraction extracted,RNA Pre Dnase Conc. (ng/ul),Dnase Treatment Date (Only adding 10ug of RNA),uL to add to Dnase rxn,uL of water to add,Dnase dilution,RNA Post Dnase Conc.,cDNA creation ,cDNA diltuion,fraction added to QPCR,fraction represented,multiplier to reprent full sample,parasitemia_count
30,Lung,IV,10,116.1,2,1,0.5,10230.2,1/3/20,0.977497996,42.022502,0.032583267,133.4,0.16,0.227272727,0.04,2.37E-05,42199.575,
36,Lung,IV,10,134.4,2.5,1,0.4,2029.4,1/3/20,4.927564797,38.0724352,0.16425216,115.9,0.16,0.227272727,0.04,9.56E-05,10464.09375,
4,Lung,IV,10,120.9,2,1,0.5,5106.8,1/3/20,1.958173416,41.04182658,0.065272447,132.7,0.16,0.227272727,0.04,4.75E-05,21065.55,
6,Lung,IV,10,110.8,2,1,0.5,3748.6,1/3/20,2.667662594,40.33233741,0.088922086,114.3,0.16,0.227272727,0.04,6.47E-05,15462.975,
12,Sub Cu,IV,6,138.1,2.5,1,0.4,1147.2,2/26/20,8.716875872,34.28312413,0.290562529,144.9,0.16,0.227272727,0.04,0.000169055,5915.25,
33,Sub Cu,IV,6,80.1,1.5,1,0.666666667,1148.7,2/26/20,8.705493166,34.29450683,0.290183106,143.1,0.16,0.227272727,0.04,0.00028139,3553.790625,
27,Sub Cu,IV,6,67.1,1,1,1,850.2,2/26/20,11.76193837,31.23806163,0.392064612,146.9,0.16,0.227272727,0.04,0.000570276,1753.5375,
32,Sub Cu,IV,6,118,2,1,0.5,599.3,2/26/20,16.68613382,26.31386618,0.556204461,148.6,0.16,0.227272727,0.04,0.000404512,2472.1125,
30,Sub Cu,IV,10,27,1,1,1,689.1,3/2/20,14.5116819,28.4883181,0.48372273,140.9,0.16,0.227272727,0.04,0.000703597,1421.26875,
36,Sub Cu,IV,10,48.9,1,1,1,884.9,3/2/20,11.30071194,31.69928806,0.376690398,145.9,0.16,0.227272727,0.04,0.000547913,1825.10625,
4,Sub Cu,IV,10,96.5,2,1,0.5,2458.7,3/2/20,4.067189978,38.93281002,0.135572999,149.2,0.16,0.227272727,0.04,9.86E-05,10142.1375,
6,Sub Cu,IV,10,57.7,1,1,1,4750.9,3/2/20,2.104864341,40.89513566,0.070162145,148.7,0.16,0.227272727,0.04,0.000102054,9798.73125,
2,Gon Fat,IV,14,93.1,2,1,0.5,980,3/30/21,10.20408163,32.79591837,0.340136054,175,0.16,0.227272727,0.04,0.000247372,4042.5,
34,Gon Fat,IV,14,54.3,1,1,1,815.7,3/30/21,12.2594091,30.7405909,0.40864697,181,0.16,0.227272727,0.04,0.000594396,1682.38125,
3,Gon Fat,IV,14,230.1,5,1,0.2,509.9,3/30/21,19.61168857,23.38831143,0.653722952,160.4,0.16,0.227272727,0.04,0.000190174,5258.34375,
35,Gon Fat,IV,14,25.9,1,1,1,420.1,3/30/21,23.80385622,19.19614378,0.793461874,174.4,0.16,0.227272727,0.04,0.001154126,866.45625,
2,Heart,IV,14,80.4,2,1,0.5,815.2,,12.26692836,30.73307164,0.408897612,278.6,0.16,0.227272727,0.04,0.00029738,3362.7,
34,Heart,IV,14,70.1,1,1,1,3027.4,,3.303164432,39.69683557,0.110105481,270.7,0.16,0.227272727,0.04,0.000160153,6244.0125,
3,Heart,IV,14,52.2,1,1,1,2250.1,,4.444246922,38.55575308,0.148141564,237.3,0.16,0.227272727,0.04,0.000215479,4640.83125,
35,Heart,IV,14,63.8,1,1,1,2872,,3.48189415,39.51810585,0.116063138,244.6,0.16,0.227272727,0.04,0.000168819,5923.5,
2,Sub Cu,IV,14,105.1,2,1,0.5,1992.2,,5.019576348,37.98042365,0.167319212,390.4,0.16,0.227272727,0.04,0.000121687,8217.825,
