mouse,tissue,day,pad1,zfp3,dct,relative_pad1_expression
m12,blood,d6,30.481892267862957,25.976346015930176,4.505546251932781,0.044024601275755505
m12,ear,d6,NA,33.6955312093099,NA,NA
m12,gon,d6,NA,34.93032709757487,NA,NA
m12,heart,d6,35.543846130371094,35.52893193562826,0.014914194742836173,0.9897155186603944
m12,lung,d6,NA,33.11146036783854,NA,NA
m12,sc,d6,35.55712890625,31.002869923909504,4.554258982340496,0.042562922303954864
m2,blood,d10,35.26673698425293,34.355508168538414,0.9112288157145159,0.5317319954860684
m2,blood,d14,27.398730595906574,27.07130304972331,0.32742754618326586,0.7969562616149105
m2,blood,d6,23.940169016520183,23.514781316121418,0.4253877003987654,0.7446385953808814
m2,brain,d14,29.2510929107666,28.000085830688477,1.251007080078125,0.4201548141866252
m2,ear,d14,32.83691088358561,32.13985951741537,0.6970513661702427,0.6168316226457142
m2,gon,d14,29.30865732828776,27.30139414469401,2.00726318359375,0.24874454909989385
m2,heart,d14,29.128175099690754,26.089319864908855,3.0388552347818987,0.12167838080432941
m2,lung,d14,28.43915303548177,26.936078389485676,1.5030746459960938,0.35280070623792387
m2,sc,d14,31.257610321044922,29.355845769246418,1.9017645517985038,0.26761584601782307
m27,blood,d6,23.255433400472004,23.573692957560223,-0.3182595570882185,1.2468254920477728
m27,brain,d6,34.44988441467285,34.293280283610024,0.1566041310628279,0.8971342954488523
m27,ear,d6,30.840195337931316,32.525146484375,-1.6849511464436837,3.215295082540831
m27,gon,d6,29.62898826599121,32.744467417399086,-3.1154791514078752,8.666678284672944
m27,heart,d6,29.07957585652669,31.704191207885742,-2.6246153513590507,6.167198795459375
m27,lung,d6,26.832313537597656,28.489288330078125,-1.6569747924804688,3.1535455953518094
m27,sc,d6,29.202592213948567,31.580437342325848,-2.377845128377281,5.197598263787381
m3,blood,d10,27.694115956624348,28.078702926635742,-0.3845869700113944,1.3054859852539282
m3,blood,d14,26.456181208292644,25.975149154663086,0.4810320536295585,0.7164649066762747
m3,blood,d6,19.707752863566082,21.970022201538086,-2.262269337972004,4.797455212585498
m3,brain,d14,37.316839853922524,33.32347869873047,3.993361155192055,0.06278826878910905
m3,ear,d14,36.33873748779297,34.56304677327474,1.7756907145182268,0.2920544526811144
m3,gon,d14,30.62458038330078,27.540911356608074,3.083669026692707,0.11795683911576628
m3,heart,d14,34.33334986368815,30.507983525594074,3.8253663380940743,0.07054236047122157
m3,lung,d14,28.98160680135091,27.12815984090169,1.8534469604492188,0.2767303991670878
m3,sc,d14,28.64967664082845,27.419777552286785,1.2298990885416643,0.4263472663370568
m30,blood,d10,NA,35.65903663635254,NA,NA
m30,blood,d6,27.030405044555664,24.449033737182617,2.581371307373047,0.16708205437303902
m30,ear,d10,35.698418935139976,32.62397893269857,3.0744400024414062,0.11871383622593437
m30,gon,d10,33.9885508219401,32.26876449584961,1.7197863260904924,0.3035936822606981
m30,heart,d10,36.36614227294922,34.59843953450521,1.767702738444008,0.2936759973371556
m30,lung,d10,34.1336784362793,30.72840754191081,3.4052708943684884,0.09438681195333318
m30,sc,d10,30.411061604817707,29.671682993570965,0.7393786112467424,0.5989972931938093
m32,blood,d6,29.473896026611328,28.517075220743816,0.9568208058675118,0.5151909636277824
m32,ear,d6,36.207624435424805,35.721208572387695,0.4864158630371094,0.7137962053652522
m32,gon,d6,32.75693130493164,35.377092361450195,-2.6201610565185547,6.148187045062815
m32,heart,d6,29.43940544128418,34.640201568603516,-5.200796127319336,36.77863744181339
m32,lung,d6,32.108832677205406,35.357465744018555,-3.2486330668131487,9.504647133377128
m32,sc,d6,30.136422157287598,34.48205820719401,-4.34563604990641,20.3313773653674
m33,blood,d6,28.24912452697754,25.29935137430827,2.9497731526692696,0.12942846502931418
m33,ear,d6,35.772756576538086,33.731024424235024,2.0417321523030623,0.2428719607922781
m33,gon,d6,NA,35.07577896118164,NA,NA
m33,heart,d6,36.39484786987305,34.545579274495445,1.8492685953776018,0.277533033571223
m33,lung,d6,34.54746627807617,32.84391657511393,1.703549702962242,0.3070297367978772
m33,sc,d6,35.98048782348633,32.6855837504069,3.2949040730794295,0.10189081619570785
m34,blood,d10,37.523529052734375,34.482008616129555,3.04152043660482,0.1214538024508428
m34,blood,d14,28.113962173461914,27.823368072509766,0.29059410095214844,0.8175653163207337
m34,blood,d6,30.135615666707356,24.86110242207845,5.274513244628906,0.025835287620133845
m34,brain,d14,28.140797932942707,29.419808705647785,-1.2790107727050781,2.426725240957346
m34,ear,d14,32.199598948160805,31.839082717895508,0.3605162302652971,0.7788858260975732
m34,gon,d14,28.7416197458903,27.23222478230794,1.5093949635823591,0.35125849858802155
m34,heart,d14,25.711305618286133,24.412708282470703,1.2985973358154297,0.4065212474936796
m34,lung,d14,24.835108439127605,19.32412815093994,5.510980288187664,0.021929545344795666
m34,sc,d14,31.5525697072347,30.197272618611652,1.3552970886230469,0.39085432615327614
m35,blood,d10,34.615013122558594,31.83136749267578,2.7836456298828125,0.14522425863876073
m35,blood,d14,33.2612673441569,28.38355890909831,4.87770843505859,0.034014449840083456
m35,blood,d6,24.29825782775879,20.270849863688152,4.027407964070637,0.06132384793345279
m35,brain,d14,37.34994633992513,31.78015200297038,5.569794336954754,0.02105352570491631
m35,ear,d14,33.434007008870445,30.110279083251953,3.323727925618492,0.09987532302672278
m35,gon,d14,30.486167271931965,25.097654978434246,5.388512293497719,0.0238724046651078
m35,heart,d14,NA,35.75826072692871,NA,NA
m35,lung,d14,34.83738390604655,27.51848538716634,7.318898518880207,0.006263138428063615
m35,sc,d14,30.843603769938152,25.880526224772137,4.963077545166016,0.032060093758598224
m36,blood,d10,35.20539093017578,34.93738555908203,0.26800537109375,0.8304669322912231
m36,blood,d6,21.993785222371418,23.849896748860676,-1.8561115264892578,3.620305705810026
m36,brain,d10,NA,34.83307902018229,NA,NA
m36,ear,d10,NA,33.606160481770836,NA,NA
m36,gon,d10,32.86332321166992,32.09416389465332,0.7691593170166016,0.5867592896518192
m36,heart,d10,33.92882283528646,32.19077173868815,1.738051096598312,0.2997743610124016
m36,lung,d10,34.45970662434896,30.49859046936035,3.961116154988609,0.06420742025296805
m36,sc,d10,37.530029296875,32.94176483154297,4.588264465332031,0.041571411238544125
m4,blood,d10,24.8220272064209,25.41880989074707,-0.5967826843261719,1.5123401736838356
m4,blood,d6,21.85822296142578,22.76296552022298,-0.9047425587971993,1.8722103791449132
m4,ear,d10,36.13029670715332,33.39604949951172,2.7342472076416016,0.15028290273818382
m4,gon,d10,NA,33.95406150817871,NA,NA
m4,heart,d10,35.457733154296875,32.75775019327799,2.6999829610188826,0.15389486923607718
m4,lung,d10,28.733104705810547,28.193259557088215,0.5398451487223319,0.6878447347342643
m4,sc,d10,29.865379333496094,26.553377151489258,3.312002182006836,0.10069038409161726
m6,blood,d10,29.411596298217773,28.717864354451496,0.6937319437662772,0.6182524926002395
m6,blood,d6,32.24151690800985,26.496447722117107,5.745069185892742,0.01864497682480106
m6,gon,d10,36.08700942993164,34.643096923828125,1.4439125061035156,0.3675691250727585
m6,lung,d10,31.22584406534831,30.26112683614095,0.9647172292073591,0.5123788288363819
m6,sc,d10,33.258436838785805,27.491226196289062,5.767210642496742,0.018361011613339098
